date,state,us_state_or_territory,positive,probablecases,negative,pending,totaltestresultssource,totaltestresults,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,lastupdateet,datemodified,checktimeet,death,hospitalized,hospitalizeddischarged,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,totaltestencountersviral,totaltestspeopleviral,totaltestsantibody,positivetestsantibody,negativetestsantibody,totaltestspeopleantibody,positivetestspeopleantibody,negativetestspeopleantibody,totaltestspeopleantigen,positivetestspeopleantigen,totaltestsantigen,positivetestsantigen,fips,positiveincrease,negativeincrease,total,totaltestresultsincrease,posneg,dataqualitygrade,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
2021-02-01,GA,Georgia,912479,160031,,,totalTestsViral,6474133,4438,50323,,8400,,,,2021-02-01T14:50:00,2021-02-01T14:50:00Z,02/01 09:50,14242,50323,,2021-02-01T14:50:00Z,6474133,723022,,752448,12613,1629,,,446424,61724,,,,,,,,,13,3034,0,912479,21387,912479,,44,86,909edfeb46f7dbdf092a5a2f5d338ed5b8bb77bf,0,0,0,0,0,
2021-02-01,GU,Guam,7608,207,99764,,posNeg,107372,6,,2,,2,,7377,2021-02-01T07:00:00,2021-02-01T07:00:00Z,02/01 02:00,129,,,2021-02-01T07:00:00Z,107165,,,7401,,,,,343,22,,,,,,,8240,270,66,21,1221,107372,1242,107372,,0,0,99912850df6384ff54ebb447af5697b1afc608c7,0,0,0,0,0,
2021-02-01,HI,Hawaii,26608,665,,,totalTestEncountersViral,993306,63,2086,16,,12,,,2021-01-30T14:30:00,2021-01-30T14:30:00Z,01/30 09:30,410,2086,,2021-01-30T14:30:00Z,,25806,,25943,410,,993306,,,,,,,,,,,,15,90,0,26608,5831,26608,,0,19,3734a7a724e404260bbfff783f689faf335f31a2,0,0,0,0,0,
2021-02-01,IA,Iowa,267913,,987275,,posNeg,1255188,368,,92,,28,,283036,2021-01-02T00:00:00,2021-01-02T00:00:00Z,01/01 19:00,4906,,,2021-01-02T00:00:00Z,2499887,290215,2196634,267913,,,,1257527,,,,101560,14114,87398,217424,51905,1131661,55190,19,355,1145,1255188,1500,1255188,,5,0,540b672e72709cea618ff5942eb7dba728111d9d,0,0,0,0,0,
2021-02-01,ID,Idaho,162683,30205,470637,,totalTestsPeopleViral,603115,225,6674,57,1169,,,81591,2021-01-30T19:00:00,2021-01-30T19:00:00Z,01/30 14:00,1725,6674,,2021-01-30T19:00:00Z,990444,,,132478,1513,212,,603115,,,,,,,,,78973,,16,0,0,633320,0,633320,,0,0,bf85eb6e9a6b26c243f128f9b7c4e1679ee6f45c,0,0,0,0,0,
2021-02-01,IL,Illinois,1128613,,,,totalTestsViral,16100555,2387,,515,,278,,,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,21273,,,2021-02-01T00:00:00Z,16100555,,,,19259,2014,,,,,,,,,,,,,17,2312,0,1128613,61263,1128613,,20,0,3187f2ad2da6844fcf8a5f935b53a048fceb32f9,0,0,0,0,0,
2021-02-01,IN,Indiana,628391,,2335190,,totalTestsViral,7039744,1594,40437,374,7065,201,,,2021-01-31T23:59:00,2021-01-31T23:59:00Z,01/31 18:59,9989,40437,407664,2021-01-31T23:59:00Z,7039744,714746,,,9613,376,,2963581,,,,,,,,,,,18,1709,4005,2963581,25221,2963581,,15,89,cb110bf13c69a70306560b0dcf9e765f375debde,0,0,0,0,0,
2021-02-01,KS,Kansas,276668,,900949,,posNeg,1177617,381,8489,97,2311,48,412,,2021-02-01T10:00:00,2021-02-01T10:00:00Z,02/01 05:00,3809,8489,5715,2021-02-01T10:00:00Z,2221814,,,,,,,1177617,,,,,,,,,,,20,1983,6911,1177617,8894,1177617,,30,72,88fb4b3de4e2d13d0f5aa8b4a4e3e8c24af88a92,0,0,0,0,0,
2021-02-01,KY,Kentucky,364507,79369,,,totalTestsViral,3621461,1314,16725,337,3568,178,,43492,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,3780,16725,,2021-02-01T00:00:00Z,3621461,229908,,285138,3450,330,,,108391,8605,,,,,,,341177,30681,21,1617,0,364507,31239,364507,,35,38,5e471cdb49bd795814f109a0c395754d42cb2fe8,0,0,0,0,0,
2021-02-01,LA,Louisiana,401591,50968,4617370,,posNeg,5018961,1403,,,,187,,344321,2021-02-01T13:00:00,2021-02-01T13:00:00Z,02/01 08:00,8912,,,2021-02-01T13:00:00Z,4967993,,,350623,8340,572,,,,,,,,,,,360086,,22,965,10548,5018961,11513,5018961,,53,0,b8959bbff548a3172c4527152bc04606ca731850,0,0,0,0,0,
2021-02-01,MA,Massachusetts,526423,26008,4103409,,totalTestsViral,13721200,1676,18008,373,,222,,389717,2021-01-31T23:59:00,2021-01-31T23:59:00Z,01/31 18:59,14607,18008,,2021-01-31T23:59:00Z,13721200,599434,,500415,14317,290,,4603824,,,,147875,13999,,476976,,,,25,2398,11221,4629832,88302,4629832,,30,0,f043f0798e7bcb6eb1e63b5cfdd7e12b777c4c26,0,0,0,0,0,
2021-02-01,MD,Maryland,355636,,2848563,,totalTestsViral,7038562,1437,32181,371,,,,9501,2021-02-01T10:00:00,2021-02-01T10:00:00Z,02/01 05:00,7154,32181,,2021-02-01T10:00:00Z,7038562,433006,,355636,6978,176,,3204199,,,,186392,23333,163059,,,,,24,1163,7449,3204199,25408,3204199,,27,126,eca57b0450c578652c46f26887fcffa9887b107b,0,0,0,0,0,
2021-02-01,ME,Maine,39543,7690,,,totalTestsViral,1374090,164,1394,51,,28,,12422,2021-01-31T23:59:00,2021-01-31T23:59:00Z,01/31 18:59,595,1394,,2021-01-31T23:59:00Z,1374090,37042,,31853,585,10,,,14432,713,13707,,,,,,150334,8305,23,219,0,39543,7270,39543,,5,4,1985aaab3cfbb5de9899fb8b89e9a8e8a79cea62,0,0,0,0,0,
2021-02-01,MI,Michigan,612710,51403,,,totalTestsViral,9515056,1409,,336,,170,,481801,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,15536,,,2021-02-01T00:00:00Z,9515056,711592,8803464,561307,14609,927,,,492095,,,,,,,,,,26,2572,0,612710,49911,612710,,11,0,d230d93935fe495cfcb855513720f791e41aa14e,0,0,0,0,0,
2021-02-01,MN,Minnesota,462528,20138,2828505,,totalTestEncountersViral,6255856,387,24352,92,5045,,,447420,2021-02-01T17:00:00,2021-02-01T17:00:00Z,02/01 12:00,6202,24352,,2021-02-01T17:00:00Z,,,,442390,5953,249,6255856,3270895,,,,,,,,,341986,,27,721,5983,3291033,19216,3291033,,2,44,7ad37a957cd64f10864b44a3426e5bb978f38758,0,0,0,0,0,
2021-02-01,MO,Missouri,459597,,1778050,,totalTestsViral,4165512,1778,,401,,244,,,2021-02-01T00:59:00,2021-02-01T00:59:00Z,01/31 19:59,6748,,,2021-02-01T00:59:00Z,4165512,507534,3649122,459597,,,,2237647,136941,20061,116694,124439,,,278896,,640880,70855,29,778,2661,2237647,8720,2237647,,0,0,820f6065a8fa0152c7598ee37fd56c348c3d900b,0,0,0,0,0,
2021-02-01,MP,Northern Mariana Islands,132,,17429,,posNeg,17561,,4,,,,,29,2021-01-29T00:00:00,2021-01-29T00:00:00Z,01/28 19:00,2,4,,2021-01-29T00:00:00Z,26131,,,132,2,,,17542,,,,,,,,,,,69,0,0,17561,0,17561,,0,0,46dc1cf50d1ba5b19076cb0ea5ed65a452d2c97b,0,0,0,0,0,
