date,state,us_state_or_territory,positive,probablecases,negative,pending,totaltestresultssource,totaltestresults,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,lastupdateet,datemodified,checktimeet,death,hospitalized,hospitalizeddischarged,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,totaltestencountersviral,totaltestspeopleviral,totaltestsantibody,positivetestsantibody,negativetestsantibody,totaltestspeopleantibody,positivetestspeopleantibody,negativetestspeopleantibody,totaltestspeopleantigen,positivetestspeopleantigen,totaltestsantigen,positivetestsantigen,fips,positiveincrease,negativeincrease,total,totaltestresultsincrease,posneg,dataqualitygrade,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
2021-02-18,UT,Utah,364399,,1500999,,totalTestsViral,2772120,291,14343,105,2255,,788,340227,2021-02-18T10:18:00,2021-02-18T10:18:00Z,02/18 05:18,1813,14343,,2021-02-18T10:18:00Z,2772120,337751,2434369,,,,,1810571,,,,,,,334138,54230,880328,56587,49,1151,4502,1865398,11992,1865398,,7,49,dfcdbe314d6a3e88858c01fe80ff67be155d8b2b,0,0,0,0,0,
2021-02-18,VA,Virginia,557896,116696,,257,totalTestEncountersViral,5679834,1828,23268,364,,218,,,2021-02-17T17:00:00,2021-02-17T17:00:00Z,02/17 12:00,7090,23268,45305,2021-02-17T17:00:00Z,,538967,,441200,6096,994,5679834,,217401,26374,,,,,,,1272736,116379,51,2304,0,558153,26622,557896,,15,89,485e376793ea030fa895e07e54f5c6099cff3a8e,0,0,0,0,0,
2021-02-18,VI,United States Virgin Islands,2558,,42890,115,posNeg,45448,,,,,,,2448,2020-02-18T09:48:00,2020-02-18T09:48:00Z,02/18 04:48,25,,,2020-02-18T09:48:00Z,,,,,,,,45563,,,,,,,,,,,78,13,166,45563,179,45448,,0,0,7bb9ce8887fa3b2cdf2ba641bda5ad349df90752,0,0,0,0,0,
2021-02-18,VT,Vermont,14149,401,307714,,totalTestsViral,990931,42,,13,,,,11221,2021-02-17T23:59:00,2021-02-17T23:59:00Z,02/17 18:59,193,,,2021-02-17T23:59:00Z,990931,,,13748,,,,321462,,,,,,,,,,,50,153,515,321863,3743,321863,,2,0,0d98edc2e742599e1a0a2ee3470a90ddc3038c6a,0,0,0,0,0,
2021-02-18,WA,Washington,330807,17174,,,totalTestEncountersViral,4997740,704,18861,160,,60,,,2021-02-17T02:59:00,2021-02-17T02:59:00Z,02/16 21:59,4759,18861,,2021-02-17T02:59:00Z,,313595,4683820,313633,,,4997740,,,,,,,,,,,,53,1061,0,330807,30274,330807,,50,97,230df57f05a50c73e80944d0881bcfa8a0f36aff,0,0,0,0,0,
2021-02-18,WI,Wisconsin,610055,52333,2579840,35,totalTestEncountersViral,6599391,391,25556,107,2239,,,541515,2021-02-18T00:00:00,2021-02-18T00:00:00Z,02/17 19:00,6816,25556,,2021-02-18T00:00:00Z,,,,557722,6232,584,6599391,3137562,,,,,,,,,,,55,866,4814,3189930,36012,3189895,,18,58,b5e5645d4099c7ff3a77f43176090578c6174455,0,0,0,0,0,
2021-02-18,WV,West Virginia,128760,25703,,,totalTestsViral,2089904,301,,57,,25,,116436,2021-02-17T23:59:00,2021-02-17T23:59:00Z,02/17 18:59,2236,,,2021-02-17T23:59:00Z,2089904,,,103057,1909,327,,,31873,,,,,,,,,,54,355,0,128760,9865,128760,,11,0,3e53e48a22cb9869c5f5cc8f9e95fc9f4841f363,0,0,0,0,0,
2021-02-18,WY,Wyoming,53531,8060,178389,,totalTestsViral,617468,31,1364,,,,,52149,2021-02-18T00:00:00,2021-02-18T00:00:00Z,02/17 19:00,662,1364,,2021-02-18T00:00:00Z,617468,38266,571305,45471,,,,223860,,,,,,,,,,,56,81,347,231920,2131,231920,,0,1,f2e040405c4c4e9d7110c8b266f73bec8791b768,0,0,0,0,0,
2021-02-17,AK,Alaska,54799,,,,totalTestsViral,1611971,32,1238,,,2,,,2021-02-17T03:59:00,2021-02-17T03:59:00Z,02/16 22:59,288,1238,,2021-02-17T03:59:00Z,1611971,66264,1543783,,,,,,,,,,,,,,,,2,63,0,54799,6144,54799,,1,5,96a61e021c5ff72ae4f831f4ffbeac80e993d96f,0,0,0,0,0,
2021-02-17,AL,Alabama,483167,104382,1859516,,totalTestsPeopleViral,2238301,1030,44541,,2609,,1479,264621,2021-02-17T11:00:00,2021-02-17T11:00:00Z,02/17 06:00,9346,44541,,2021-02-17T11:00:00Z,,,,378785,7324,2022,,2238301,,,,113251,,,,,,,1,679,2428,2342683,2844,2342683,,89,0,8a61c441abcda7e1e6f090c8dfef1038359a10ae,0,0,0,0,0,
